csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
event,Event,decimalLatitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location.",number,default,"Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.",`-41.0983423`,dwc,http://rs.tdwg.org/dwc/terms/decimalLatitude,False,,-90.0
event,Event,decimalLongitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location.",number,default,"Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.",`-121.1761111`,dwc,http://rs.tdwg.org/dwc/terms/decimalLongitude,False,,-180.0
event,Event,geodeticDatum,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in dwc:decimalLatitude and dwc:decimalLongitude as based.",string,default,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",`EPSG:4326`; `WGS84`; `NAD27`; `Campo Inchauspe`; `European 1950`; `Clarke 1866`; `unknown`,dwc,http://rs.tdwg.org/dwc/terms/geodeticDatum,,,
event,Event,coordinateUncertaintyInMeters,The horizontal distance (in meters) from the given dwc:decimalLatitude and dwc:decimalLongitude describing the smallest circle containing the whole of the dcterms:Location.,integer,default,"Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.",`30` (reasonable lower limit on or after 2000-05-01 of a GPS reading under good conditions if the actual precision was not recorded at the time); `100` (reasonable lower limit before 2000-05-01 of a GPS reading under good conditions if the actual precision was not recorded at the time); `71` (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system),dwc,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,False,,1.0
event,Event,coordinatePrecision,A decimal representation of the precision of the coordinates given in a dwc:decimalLatitude and dwc:decimalLongitude.,number,default,,`0.00001` (normal GPS limit for decimal degrees); `0.000278` (nearest second); `0.01667` (nearest minute); `1.0` (nearest degree),dwc,http://rs.tdwg.org/dwc/terms/coordinatePrecision,,,
event,Event,pointRadiusSpatialFit,"The ratio of the area of the point-radius (dwc:decimalLatitude, dwc:decimalLongitude, dwc:coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of a dcterms:Location.",number,default,"Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left empty) if the original representation is any geometry without area (e.g., a point or polyline) and without uncertainty and the given georeference is not that same geometry (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1. Detailed explanations with graphical examples can be found in the Georeferencing Best Practices, Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",`0`; `1`; `1.5708`,dwc,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,False,,0.0
event,Event,footprintWKT,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines a dcterms:Location.",string,default,"A dcterms:Location may have both a point-radius representation (see dwc:decimalLatitude) and a footprint representation, and they may differ from each other.","`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (the one-degree bounding box with opposite corners at longitude=10, latitude=20 and longitude=11, latitude=21)",dwc,http://rs.tdwg.org/dwc/terms/footprintWKT,,,
event,Event,footprintSRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geometry given in dwc:footprintWKT is based.",string,default,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`. It is also permitted to provide the SRS in Well-Known-Text, especially if no EPSG code provides the necessary values for the attributes of the SRS. Do not use this term to describe the SRS of a dwc:decimalLatitude and dwc:decimalLongitude, nor of any verbatim coordinates - use dwc:geodeticDatum and dwc:verbatimSRS instead.","`epsg:4326`; `GEOGCS['GCS_WGS_1984', DATUM['D_WGS_1984', SPHEROID['WGS_1984',6378137,298.257223563]], PRIMEM['Greenwich',0], UNIT['Degree',0.0174532925199433]]` (WKT for the standard WGS84 Spatial Reference System EPSG:4326)",dwc,http://rs.tdwg.org/dwc/terms/footprintSRS,,,
event,Event,footprintSpatialFit,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of a dcterms:Location.",number,default,"Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The dwc:footprintSpatialFit is undefined (and should be left empty) if the original representation is any geometry without area (e.g., a point or polyline) and without uncertainty and the given georeference is not that same geometry (without uncertainty). If both the original and the given georeference are the same point, a dwc:footprintSpatialFit is 1.",`0`; `1`; `1.5708`,dwc,http://rs.tdwg.org/dwc/terms/footprintSpatialFit,,,
event,Event,georeferencedBy,"A list (concatenated and separated) of names of people, groups, or organizations who determined a georeference (spatial representation) for a dcterms:Location.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,`Brad Millen (ROM)`; `Kristina Yamamoto | Janet Fang`,dwc,http://rs.tdwg.org/dwc/terms/georeferencedBy,,,
event,Event,georeferencedByID,An identifier for the Agent who georeferenced a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097`,gum,,,,
event,Event,georeferencedDate,The date on which a dcterms:Location was georeferenced.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2023-05-04`,dwc,http://rs.tdwg.org/dwc/terms/georeferencedDate,,,
event,Event,georeferenceProtocol,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",string,default,,"`Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)`",dwc,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,,,
event,Event,georeferenceProtocolID,An identifier for a Protocol used to georeference a dwc:Event.,string,default,,,dwciri,http://rs.tdwg.org/dwc/iri/georeferenceProtocol,,,
event,Event,georeferenceSources,"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference a dcterms:Location, described specifically enough to allow anyone in the future to use the same resources.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,`https://www.geonames.org/`; `USGS 1:24000 Florence Montana Quad 1967 | Terrametrics 2008 on Google Earth`; `GeoLocate`,dwc,http://rs.tdwg.org/dwc/terms/georeferenceSources,,,
event,Event,georeferenceRemarks,"Comments or notes about a spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in dwc:georeferenceProtocol.",string,default,,`Assumed distance by road (Hwy. 101)`,dwc,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,,,
event,Event,informationWithheld,"Additional information that exists, but that has not been shared in the given record.",string,default,,`location information not given for endangered species`; `collector identities withheld | ask about tissue samples`,dwc,http://rs.tdwg.org/dwc/terms/informationWithheld,,,
event,Event,dataGeneralizations,Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,string,default,,`coordinates generalized from original GPS coordinates to the nearest half degree grid cell`,dwc,http://rs.tdwg.org/dwc/terms/dataGeneralizations,,,
event,Event,preferredSpatialRepresentation,An indication of which spatial representation best represents the dcterms:Location.,string,default,,`Point-radius`; `Footprint`,gum,,,,
genetic-sequence-agent-role,GeneticSequenceAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
genetic-sequence-agent-role,GeneticSequenceAgentRole,geneticSequenceID,An identifier for a GeneticSequence.,string,default,,,gum,,True,False,
genetic-sequence-agent-role,GeneticSequenceAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
genetic-sequence-agent-role,GeneticSequenceAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
genetic-sequence-agent-role,GeneticSequenceAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary in which the definition of the value in agentRole is given.,string,default,,,gum,,,,
genetic-sequence-agent-role,GeneticSequenceAgentRole,agentRoleOrder,"The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRole, agentRoleIRI, agentRoleVocabulary and related target.",integer,default,"One could use agentRoleOrder to create an ordered list of collectors (agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
genetic-sequence-agent-role,GeneticSequenceAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
genetic-sequence-assertion,GeneticSequenceAssertion,assertionID,An identifier for an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/measurementID,True,True,
genetic-sequence-assertion,GeneticSequenceAssertion,geneticSequenceID,An identifier for a GeneticSequence.,string,default,,,gum,,True,False,
